!Thresh(eV)                 0.0                         0.02                        0.29                        0.291                       0.59                        0.88                        1.17                        1.47                        1.76                        11.03                       11.87                       12.25                       13.0                        2.06                        2.35                        6.17                        7.0                         7.35                        7.36                        7.8                         8.16                        8.4                         8.55                        8.89                        15.6                        18.8                        
!Reaction                   e+N2(X1)->e+N2(X1)          e+N2(X1)->e+N2(Rot)         e+N2(X1)->e+N2(v1)          e+N2(X1)->e+N2(v1res)       e+N2(X1)->e+N2(v2)          e+N2(X1)->e+N2(v3)          e+N2(X1)->e+N2(v4)          e+N2(X1)->e+N2(v5)          e+N2(X1)->e+N2(v6)          e+N2(X1)->e+N2(C3)          e+N2(X1)->e+N2(e3)          e+N2(X1)->e+N2(a''1)        e+N2(X1)->e+N2(SUM)         e+N2(X1)->e+N2(v7)          e+N2(X1)->e+N2(v8)          e+N2(X1)->e+N2(A3,v0-4)     e+N2(X1)->e+N2(A3,v5-9)     e+N2(X1)->e+N2(B3)          e+N2(X1)->e+N2(W3)          e+N2(X1)->e+N2(A3,v10-)     e+N2(X1)->e+N2(B'3)         e+N2(X1)->e+N2(a'1)         e+N2(X1)->e+N2(a1)          e+N2(X1)->e+N2(w1)          e+N2(X1)->e+e+N2(X2:ion)    e+N2(X1)->e+e+N2(X2:ion:B2SIGMA)
!Type                       Effective                   Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Ionization                  Ionization                  
!<E> (eV)                   Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1.365e+01                   1.831e-13                   6.117e-15                   4.338e-16                   1.017e-15                   7.855e-16                   1.187e-15                   7.061e-16                   4.717e-16                   3.261e-16                   2.767e-16                   2.375e-16                   3.283e-15                   5.897e-17                   2.762e-16                   1.045e-14                   1.322e-16                   6.442e-17                   1.625e-16                   6.918e-16                   1.940e-15                   2.153e-15                   6.819e-16                   6.360e-16                   4.933e-16                   2.131e-15                   5.627e-16
1.416e+01                   1.840e-13                   6.798e-15                   4.870e-16                   9.711e-16                   7.966e-16                   1.133e-15                   6.750e-16                   4.505e-16                   3.117e-16                   2.644e-16                   2.269e-16                   3.349e-15                   6.016e-17                   2.869e-16                   1.132e-14                   1.265e-16                   6.161e-17                   1.654e-16                   7.047e-16                   1.964e-15                   2.187e-15                   6.956e-16                   6.471e-16                   5.016e-16                   2.205e-15                   5.688e-16
1.466e+01                   1.848e-13                   7.503e-15                   5.423e-16                   9.270e-16                   8.065e-16                   1.084e-15                   6.426e-16                   4.302e-16                   2.967e-16                   2.524e-16                   2.165e-16                   3.407e-15                   6.172e-17                   2.970e-16                   1.219e-14                   1.209e-16                   5.882e-17                   1.680e-16                   7.163e-16                   1.985e-15                   2.218e-15                   7.080e-16                   6.571e-16                   5.090e-16                   2.276e-15                   5.739e-16
1.516e+01                   1.855e-13                   8.225e-15                   5.991e-16                   8.875e-16                   8.149e-16                   1.036e-15                   6.156e-16                   4.107e-16                   2.844e-16                   2.415e-16                   2.077e-16                   3.457e-15                   6.296e-17                   3.062e-16                   1.306e-14                   1.159e-16                   5.662e-17                   1.702e-16                   7.262e-16                   2.002e-15                   2.243e-15                   7.187e-16                   6.656e-16                   5.155e-16                   2.342e-15                   5.779e-16
1.567e+01                   1.861e-13                   8.966e-15                   6.576e-16                   8.512e-16                   8.222e-16                   9.918e-16                   5.910e-16                   3.939e-16                   2.728e-16                   2.318e-16                   1.992e-16                   3.499e-15                   6.374e-17                   3.147e-16                   1.393e-14                   1.113e-16                   5.430e-17                   1.722e-16                   7.350e-16                   2.017e-15                   2.264e-15                   7.282e-16                   6.732e-16                   5.213e-16                   2.403e-15                   5.809e-16
1.617e+01                   1.867e-13                   9.726e-15                   7.178e-16                   8.162e-16                   8.286e-16                   9.528e-16                   5.650e-16                   3.780e-16                   2.611e-16                   2.223e-16                   1.908e-16                   3.536e-15                   6.493e-17                   3.228e-16                   1.480e-14                   1.068e-16                   5.203e-17                   1.739e-16                   7.429e-16                   2.029e-15                   2.281e-15                   7.368e-16                   6.799e-16                   5.266e-16                   2.462e-15                   5.834e-16
1.667e+01                   1.872e-13                   1.050e-14                   7.792e-16                   7.837e-16                   8.339e-16                   9.149e-16                   5.425e-16                   3.624e-16                   2.507e-16                   2.133e-16                   1.835e-16                   3.567e-15                   6.572e-17                   3.302e-16                   1.566e-14                   1.026e-16                   5.018e-17                   1.754e-16                   7.497e-16                   2.039e-15                   2.296e-15                   7.442e-16                   6.857e-16                   5.312e-16                   2.517e-15                   5.850e-16
1.717e+01                   1.876e-13                   1.129e-14                   8.418e-16                   7.543e-16                   8.382e-16                   8.788e-16                   5.230e-16                   3.483e-16                   2.416e-16                   2.052e-16                   1.768e-16                   3.593e-15                   6.642e-17                   3.370e-16                   1.652e-14                   9.889e-17                   4.837e-17                   1.767e-16                   7.554e-16                   2.047e-15                   2.307e-15                   7.507e-16                   6.907e-16                   5.353e-16                   2.569e-15                   5.860e-16
1.767e+01                   1.880e-13                   1.209e-14                   9.055e-16                   7.262e-16                   8.417e-16                   8.453e-16                   5.034e-16                   3.354e-16                   2.323e-16                   1.978e-16                   1.701e-16                   3.614e-15                   6.712e-17                   3.434e-16                   1.737e-14                   9.528e-17                   4.651e-17                   1.778e-16                   7.604e-16                   2.052e-15                   2.315e-15                   7.562e-16                   6.949e-16                   5.389e-16                   2.617e-15                   5.864e-16
1.817e+01                   1.884e-13                   1.290e-14                   9.702e-16                   6.995e-16                   8.445e-16                   8.155e-16                   4.835e-16                   3.233e-16                   2.234e-16                   1.905e-16                   1.637e-16                   3.631e-15                   6.761e-17                   3.493e-16                   1.822e-14                   9.178e-17                   4.482e-17                   1.788e-16                   7.646e-16                   2.057e-15                   2.321e-15                   7.610e-16                   6.986e-16                   5.422e-16                   2.663e-15                   5.865e-16
