!Thresh(eV)                 0.0                         0.02                        0.29                        0.291                       0.59                        0.88                        1.17                        1.47                        1.76                        11.03                       11.87                       12.25                       13.0                        2.06                        2.35                        6.17                        7.0                         7.35                        7.36                        7.8                         8.16                        8.4                         8.55                        8.89                        15.6                        18.8                        
!Reaction                   e+N2(X1)->e+N2(X1)          e+N2(X1)->e+N2(Rot)         e+N2(X1)->e+N2(v1)          e+N2(X1)->e+N2(v1res)       e+N2(X1)->e+N2(v2)          e+N2(X1)->e+N2(v3)          e+N2(X1)->e+N2(v4)          e+N2(X1)->e+N2(v5)          e+N2(X1)->e+N2(v6)          e+N2(X1)->e+N2(C3)          e+N2(X1)->e+N2(e3)          e+N2(X1)->e+N2(a''1)        e+N2(X1)->e+N2(SUM)         e+N2(X1)->e+N2(v7)          e+N2(X1)->e+N2(v8)          e+N2(X1)->e+N2(A3,v0-4)     e+N2(X1)->e+N2(A3,v5-9)     e+N2(X1)->e+N2(B3)          e+N2(X1)->e+N2(W3)          e+N2(X1)->e+N2(A3,v10-)     e+N2(X1)->e+N2(B'3)         e+N2(X1)->e+N2(a'1)         e+N2(X1)->e+N2(a1)          e+N2(X1)->e+N2(w1)          e+N2(X1)->e+e+N2(X2:ion)    e+N2(X1)->e+e+N2(X2:ion:B2SIGMA)
!Type                       Effective                   Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Ionization                  Ionization                  
!<E> (eV)                   Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1.365e+01                   1.832e-13                   6.131e-15                   4.349e-16                   1.016e-15                   7.862e-16                   1.191e-15                   7.053e-16                   4.696e-16                   3.275e-16                   2.774e-16                   2.364e-16                   3.286e-15                   5.928e-17                   2.765e-16                   1.047e-14                   1.324e-16                   6.455e-17                   1.626e-16                   6.924e-16                   1.941e-15                   2.154e-15                   6.825e-16                   6.366e-16                   4.938e-16                   2.133e-15                   5.631e-16
1.416e+01                   1.841e-13                   6.811e-15                   4.880e-16                   9.699e-16                   7.971e-16                   1.133e-15                   6.768e-16                   4.489e-16                   3.096e-16                   2.651e-16                   2.273e-16                   3.351e-15                   5.999e-17                   2.872e-16                   1.133e-14                   1.260e-16                   6.174e-17                   1.655e-16                   7.051e-16                   1.965e-15                   2.189e-15                   6.960e-16                   6.475e-16                   5.018e-16                   2.207e-15                   5.691e-16
1.466e+01                   1.849e-13                   7.518e-15                   5.434e-16                   9.274e-16                   8.069e-16                   1.081e-15                   6.451e-16                   4.310e-16                   2.950e-16                   2.521e-16                   2.179e-16                   3.409e-15                   6.209e-17                   2.972e-16                   1.221e-14                   1.206e-16                   5.882e-17                   1.681e-16                   7.167e-16                   1.986e-15                   2.219e-15                   7.084e-16                   6.575e-16                   5.094e-16                   2.278e-15                   5.742e-16
1.516e+01                   1.856e-13                   8.241e-15                   6.003e-16                   8.884e-16                   8.153e-16                   1.035e-15                   6.150e-16                   4.130e-16                   2.847e-16                   2.408e-16                   2.078e-16                   3.458e-15                   6.239e-17                   3.064e-16                   1.308e-14                   1.164e-16                   5.637e-17                   1.703e-16                   7.266e-16                   2.003e-15                   2.244e-15                   7.191e-16                   6.659e-16                   5.158e-16                   2.344e-15                   5.780e-16
1.567e+01                   1.862e-13                   8.983e-15                   6.589e-16                   8.511e-16                   8.225e-16                   9.932e-16                   5.881e-16                   3.945e-16                   2.744e-16                   2.314e-16                   1.982e-16                   3.501e-15                   6.421e-17                   3.150e-16                   1.395e-14                   1.119e-16                   5.433e-17                   1.723e-16                   7.354e-16                   2.018e-15                   2.265e-15                   7.286e-16                   6.735e-16                   5.216e-16                   2.405e-15                   5.811e-16
1.617e+01                   1.868e-13                   9.744e-15                   7.192e-16                   8.153e-16                   8.290e-16                   9.522e-16                   5.638e-16                   3.760e-16                   2.621e-16                   2.226e-16                   1.901e-16                   3.538e-15                   6.498e-17                   3.230e-16                   1.482e-14                   1.068e-16                   5.229e-17                   1.740e-16                   7.433e-16                   2.030e-15                   2.283e-15                   7.372e-16                   6.802e-16                   5.268e-16                   2.464e-15                   5.836e-16
1.667e+01                   1.873e-13                   1.052e-14                   7.807e-16                   7.838e-16                   8.342e-16                   9.144e-16                   5.440e-16                   3.611e-16                   2.506e-16                   2.143e-16                   1.837e-16                   3.569e-15                   6.547e-17                   3.304e-16                   1.568e-14                   1.023e-16                   5.030e-17                   1.755e-16                   7.500e-16                   2.040e-15                   2.297e-15                   7.446e-16                   6.861e-16                   5.315e-16                   2.519e-15                   5.852e-16
1.717e+01                   1.877e-13                   1.131e-14                   8.434e-16                   7.540e-16                   8.386e-16                   8.794e-16                   5.241e-16                   3.480e-16                   2.400e-16                   2.055e-16                   1.774e-16                   3.595e-15                   6.680e-17                   3.373e-16                   1.654e-14                   9.847e-17                   4.826e-17                   1.768e-16                   7.558e-16                   2.048e-15                   2.308e-15                   7.511e-16                   6.910e-16                   5.355e-16                   2.571e-15                   5.862e-16
1.767e+01                   1.881e-13                   1.211e-14                   9.072e-16                   7.262e-16                   8.421e-16                   8.463e-16                   5.035e-16                   3.360e-16                   2.309e-16                   1.972e-16                   1.708e-16                   3.616e-15                   6.702e-17                   3.436e-16                   1.740e-14                   9.522e-17                   4.635e-17                   1.779e-16                   7.607e-16                   2.053e-15                   2.316e-15                   7.566e-16                   6.953e-16                   5.391e-16                   2.619e-15                   5.866e-16
1.817e+01                   1.884e-13                   1.293e-14                   9.719e-16                   6.999e-16                   8.449e-16                   8.148e-16                   4.843e-16                   3.242e-16                   2.236e-16                   1.898e-16                   1.641e-16                   3.633e-15                   6.745e-17                   3.495e-16                   1.825e-14                   9.223e-17                   4.479e-17                   1.788e-16                   7.649e-16                   2.057e-15                   2.322e-15                   7.613e-16                   6.989e-16                   5.424e-16                   2.664e-15                   5.866e-16
1.867e+01                   1.887e-13                   1.375e-14                   1.038e-15                   6.748e-16                   8.469e-16                   7.859e-16                   4.662e-16                   3.123e-16                   2.165e-16                   1.833e-16                   1.575e-16                   3.646e-15                   6.844e-17                   3.550e-16                   1.909e-14                   8.904e-17                   4.340e-17                   1.796e-16                   7.684e-16                   2.060e-15                   2.326e-15                   7.654e-16                   7.020e-16                   5.453e-16                   2.707e-15                   5.862e-16
1.916e+01                   1.890e-13                   1.459e-14                   1.104e-15                   6.507e-16                   8.483e-16                   7.578e-16                   4.491e-16                   3.003e-16                   2.089e-16                   1.773e-16                   1.518e-16                   3.655e-15                   6.862e-17                   3.600e-16                   1.993e-14                   8.569e-17                   4.198e-17                   1.802e-16                   7.711e-16                   2.061e-15                   2.327e-15                   7.687e-16                   7.045e-16                   5.478e-16                   2.748e-15                   5.852e-16
1.966e+01                   1.892e-13                   1.543e-14                   1.171e-15                   6.289e-16                   8.490e-16                   7.325e-16                   4.343e-16                   2.894e-16                   2.016e-16                   1.717e-16                   1.470e-16                   3.661e-15                   6.836e-17                   3.647e-16                   2.076e-14                   8.253e-17                   4.061e-17                   1.807e-16                   7.732e-16                   2.060e-15                   2.327e-15                   7.713e-16                   7.064e-16                   5.500e-16                   2.785e-15                   5.840e-16
2.015e+01                   1.893e-13                   1.628e-14                   1.239e-15                   6.081e-16                   8.492e-16                   7.084e-16                   4.208e-16                   2.795e-16                   1.944e-16                   1.661e-16                   1.427e-16                   3.664e-15                   6.928e-17                   3.690e-16                   2.159e-14                   7.966e-17                   3.924e-17                   1.810e-16                   7.748e-16                   2.059e-15                   2.325e-15                   7.735e-16                   7.080e-16                   5.520e-16                   2.821e-15                   5.825e-16
