E/N (Td)          Energy (eV)       Temp (K)          Mobility ()         Diffusion ()        Ionization Rate ()  
6.482e+02         1.156e+01         8.947e+04         2.913e-02         2.385e-01         3.584e-15
6.529e+02         1.162e+01         8.993e+04         2.908e-02         2.392e-01         3.648e-15
6.577e+02         1.168e+01         9.039e+04         2.902e-02         2.399e-01         3.713e-15
6.624e+02         1.174e+01         9.084e+04         2.897e-02         2.406e-01         3.779e-15
6.671e+02         1.180e+01         9.130e+04         2.892e-02         2.413e-01         3.845e-15
6.719e+02         1.186e+01         9.176e+04         2.886e-02         2.420e-01         3.911e-15
6.766e+02         1.192e+01         9.221e+04         2.881e-02         2.427e-01         3.978e-15
6.813e+02         1.198e+01         9.267e+04         2.875e-02         2.434e-01         4.044e-15
6.861e+02         1.204e+01         9.312e+04         2.870e-02         2.440e-01         4.111e-15
6.908e+02         1.210e+01         9.358e+04         2.864e-02         2.447e-01         4.179e-15
6.955e+02         1.216e+01         9.404e+04         2.859e-02         2.454e-01         4.247e-15
7.003e+02         1.221e+01         9.449e+04         2.854e-02         2.461e-01         4.316e-15
7.050e+02         1.227e+01         9.495e+04         2.848e-02         2.467e-01         4.385e-15
7.097e+02         1.233e+01         9.540e+04         2.843e-02         2.474e-01         4.454e-15
7.145e+02         1.239e+01         9.586e+04         2.837e-02         2.481e-01         4.524e-15
7.192e+02         1.245e+01         9.631e+04         2.832e-02         2.488e-01         4.594e-15
7.239e+02         1.251e+01         9.677e+04         2.827e-02         2.495e-01         4.664e-15
7.287e+02         1.257e+01         9.722e+04         2.822e-02         2.501e-01         4.735e-15
7.334e+02         1.263e+01         9.767e+04         2.817e-02         2.508e-01         4.807e-15
7.381e+02         1.268e+01         9.813e+04         2.812e-02         2.514e-01         4.878e-15
7.428e+02         1.274e+01         9.858e+04         2.807e-02         2.521e-01         4.951e-15
7.476e+02         1.280e+01         9.904e+04         2.802e-02         2.528e-01         5.024e-15
7.523e+02         1.286e+01         9.949e+04         2.797e-02         2.534e-01         5.097e-15
7.570e+02         1.292e+01         9.994e+04         2.793e-02         2.541e-01         5.170e-15
7.618e+02         1.298e+01         1.004e+05         2.788e-02         2.548e-01         5.244e-15
7.665e+02         1.304e+01         1.009e+05         2.783e-02         2.554e-01         5.317e-15
7.712e+02         1.309e+01         1.013e+05         2.778e-02         2.561e-01         5.392e-15
7.760e+02         1.315e+01         1.018e+05         2.774e-02         2.567e-01         5.467e-15
7.807e+02         1.321e+01         1.022e+05         2.769e-02         2.574e-01         5.542e-15
7.854e+02         1.327e+01         1.027e+05         2.764e-02         2.580e-01         5.618e-15
7.902e+02         1.333e+01         1.031e+05         2.760e-02         2.586e-01         5.694e-15
7.949e+02         1.339e+01         1.036e+05         2.755e-02         2.593e-01         5.769e-15
7.996e+02         1.345e+01         1.040e+05         2.750e-02         2.599e-01         5.846e-15
8.044e+02         1.350e+01         1.045e+05         2.745e-02         2.606e-01         5.921e-15
8.091e+02         1.356e+01         1.049e+05         2.740e-02         2.612e-01         5.998e-15
