!Thresh(eV)            0.00                       0.02                       0.291                      0.59                       0.88                       1.17                       1.47                       1.76                       2.06                       2.35                       6.17                       7.00                       7.35                       7.36                       7.80                       8.16                       8.40                       8.55                       8.89                       11.03                      11.87                      12.25                      13.0                       15.6                       0.00
!Reaction              e+N2(X1)->e+N2(X1)         e+N2(X1)->e+N2(Rot)        e+N2(X1)->e+N2(v1)         e+N2(X1)->e+N2(v2)         e+N2(X1)->e+N2(v3)         e+N2(X1)->e+N2(v4)         e+N2(X1)->e+N2(v5)         e+N2(X1)->e+N2(v6)         e+N2(X1)->e+N2(v7)         e+N2(X1)->e+N2(v8)         e+N2(X1)->e+N2(A3,v0-4)    e+N2(X1)->e+N2(A3,v5-9)    e+N2(X1)->e+N2(B3)         e+N2(X1)->e+N2(W3)         e+N2(X1)->e+N2(A3,v10-)    e+N2(X1)->e+N2(B'3)        e+N2(X1)->e+N2(a'1)        e+N2(X1)->e+N2(a1)         e+N2(X1)->e+N2(w1)         e+N2(X1)->e+N2(C3)         e+N2(X1)->e+N2(E3)         e+N2(X1)->e+N2(a''1)       e+N2(X1)->e+N2(sum)        e+N2(X1)->e+e+N2(X2:ion)   e+N2(X2:ion)->N(4S)+N(4S)
!Type                  Ground/MomXfer             Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Excitation                 Ionization                 Recombination
!<E> (eV)              Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)      Rate_Constant(cm^3/s)
!---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 7.6                   1.977E-07                  2.410E-09                  3.347E-09                  1.696E-09                  1.140E-09                  7.860E-10                  6.620E-10                  5.653E-10                  3.100E-10                  1.484E-10                  8.453E-11                  3.523E-10                  1.093E-09                  1.087E-09                  3.360E-10                  3.242E-10                  2.549E-10                  8.812E-10                  3.074E-10                  2.292E-09                  2.717E-11                  1.006E-10                  2.469E-09                  1.158E-09                  3.595E-08
 7.8                   1.995E-07                  2.348E-09                  3.285E-09                  1.652E-09                  1.110E-09                  7.655E-10                  6.450E-10                  5.509E-10                  3.024E-10                  1.449E-10                  8.772E-11                  3.661E-10                  1.129E-09                  1.131E-09                  3.499E-10                  3.370E-10                  2.648E-10                  9.263E-10                  3.185E-10                  2.399E-09                  2.839E-11                  1.069E-10                  2.685E-09                  1.283E-09                  3.567E-08
 8.0                   2.015E-07                  2.289E-09                  3.226E-09                  1.609E-09                  1.082E-09                  7.458E-10                  6.286E-10                  5.371E-10                  2.950E-10                  1.414E-10                  9.084E-11                  3.796E-10                  1.164E-09                  1.175E-09                  3.635E-10                  3.496E-10                  2.745E-10                  9.712E-10                  3.293E-10                  2.504E-09                  2.960E-11                  1.131E-10                  2.908E-09                  1.415E-09                  3.540E-08
 8.2                   2.032E-07                  2.232E-09                  3.168E-09                  1.569E-09                  1.054E-09                  7.269E-10                  6.129E-10                  5.238E-10                  2.879E-10                  1.381E-10                  9.388E-11                  3.928E-10                  1.198E-09                  1.217E-09                  3.769E-10                  3.618E-10                  2.839E-10                  1.016E-09                  3.397E-10                  2.606E-09                  3.079E-11                  1.194E-10                  3.139E-09                  1.554E-09                  3.514E-08
 8.4                   2.053E-07                  2.177E-09                  3.114E-09                  1.530E-09                  1.028E-09                  7.087E-10                  5.977E-10                  5.110E-10                  2.810E-10                  1.349E-10                  9.684E-11                  4.057E-10                  1.231E-09                  1.258E-09                  3.899E-10                  3.737E-10                  2.930E-10                  1.060E-09                  3.497E-10                  2.707E-09                  3.195E-11                  1.256E-10                  3.377E-09                  1.699E-09                  3.489E-08
 8.6                   2.071E-07                  2.124E-09                  3.062E-09                  1.492E-09                  1.002E-09                  6.912E-10                  5.832E-10                  4.987E-10                  2.744E-10                  1.318E-10                  9.973E-11                  4.182E-10                  1.263E-09                  1.298E-09                  4.027E-10                  3.852E-10                  3.018E-10                  1.104E-09                  3.594E-10                  2.805E-09                  3.310E-11                  1.318E-10                  3.621E-09                  1.852E-09                  3.464E-08
 8.8                   2.089E-07                  2.074E-09                  3.011E-09                  1.456E-09                  9.775E-10                  6.744E-10                  5.692E-10                  4.868E-10                  2.680E-10                  1.288E-10                  1.025E-10                  4.304E-10                  1.294E-09                  1.337E-09                  4.151E-10                  3.965E-10                  3.104E-10                  1.147E-09                  3.688E-10                  2.900E-09                  3.422E-11                  1.379E-10                  3.872E-09                  2.011E-09                  3.441E-08
 9.0                   2.106E-07                  2.025E-09                  2.963E-09                  1.421E-09                  9.539E-10                  6.582E-10                  5.556E-10                  4.754E-10                  2.619E-10                  1.259E-10                  1.053E-10                  4.423E-10                  1.323E-09                  1.374E-09                  4.272E-10                  4.074E-10                  3.187E-10                  1.190E-09                  3.778E-10                  2.993E-09                  3.533E-11                  1.440E-10                  4.129E-09                  2.177E-09                  3.418E-08
 9.2                   2.122E-07                  1.978E-09                  2.916E-09                  1.387E-09                  9.312E-10                  6.426E-10                  5.426E-10                  4.644E-10                  2.559E-10                  1.231E-10                  1.079E-10                  4.539E-10                  1.352E-09                  1.411E-09                  4.389E-10                  4.180E-10                  3.268E-10                  1.232E-09                  3.864E-10                  3.084E-09                  3.641E-11                  1.500E-10                  4.391E-09                  2.349E-09                  3.395E-08
 9.4                   2.140E-07                  1.932E-09                  2.872E-09                  1.355E-09                  9.093E-10                  6.276E-10                  5.301E-10                  4.537E-10                  2.502E-10                  1.204E-10                  1.105E-10                  4.651E-10                  1.380E-09                  1.446E-09                  4.504E-10                  4.282E-10                  3.346E-10                  1.274E-09                  3.947E-10                  3.172E-09                  3.746E-11                  1.559E-10                  4.658E-09                  2.528E-09                  3.373E-08
