!Thresh(eV)                 0.0                         0.02                        0.29                        0.291                       0.59                        0.88                        1.17                        1.47                        1.76                        11.03                       11.87                       12.25                       13.0                        2.06                        2.35                        6.17                        7.0                         7.35                        7.36                        7.8                         8.16                        8.4                         8.55                        8.89                        15.6                        18.8                        
!Reaction                   e+N2(X1)->e+N2(X1)          e+N2(X1)->e+N2(Rot)         e+N2(X1)->e+N2(v1)          e+N2(X1)->e+N2(v1res)       e+N2(X1)->e+N2(v2)          e+N2(X1)->e+N2(v3)          e+N2(X1)->e+N2(v4)          e+N2(X1)->e+N2(v5)          e+N2(X1)->e+N2(v6)          e+N2(X1)->e+N2(C3)          e+N2(X1)->e+N2(e3)          e+N2(X1)->e+N2(a''1)        e+N2(X1)->e+N2(SUM)         e+N2(X1)->e+N2(v7)          e+N2(X1)->e+N2(v8)          e+N2(X1)->e+N2(A3,v0-4)     e+N2(X1)->e+N2(A3,v5-9)     e+N2(X1)->e+N2(B3)          e+N2(X1)->e+N2(W3)          e+N2(X1)->e+N2(A3,v10-)     e+N2(X1)->e+N2(B'3)         e+N2(X1)->e+N2(a'1)         e+N2(X1)->e+N2(a1)          e+N2(X1)->e+N2(w1)          e+N2(X1)->e+e+N2(X2:ion)    e+N2(X1)->e+e+N2(X2:ion:B2SIGMA)
!Type                       Effective                   Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Ionization                  Ionization                  
!<E> (eV)                   Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
3.562e+00                   1.201e-13                   7.068e-18                   1.349e-19                   3.293e-15                   2.778e-16                   4.129e-15                   2.411e-15                   1.649e-15                   1.031e-15                   8.001e-16                   5.966e-16                   1.700e-16                   4.946e-18                   5.085e-18                   5.106e-17                   2.888e-16                   1.256e-16                   2.004e-17                   7.766e-17                   3.027e-16                   2.042e-16                   6.539e-17                   6.337e-17                   5.047e-17                   1.189e-16                   6.685e-17
3.708e+00                   1.223e-13                   8.852e-18                   1.785e-19                   3.276e-15                   2.864e-16                   4.086e-15                   2.403e-15                   1.640e-15                   1.024e-15                   8.027e-16                   6.057e-16                   1.936e-16                   5.410e-18                   5.942e-18                   6.104e-17                   2.945e-16                   1.286e-16                   2.186e-17                   8.501e-17                   3.296e-16                   2.252e-16                   7.202e-17                   7.000e-17                   5.579e-17                   1.323e-16                   7.377e-17
3.850e+00                   1.243e-13                   1.092e-17                   2.316e-19                   3.253e-15                   2.950e-16                   4.036e-15                   2.372e-15                   1.631e-15                   1.024e-15                   8.035e-16                   6.088e-16                   2.181e-16                   6.036e-18                   6.860e-18                   7.206e-17                   2.990e-16                   1.311e-16                   2.367e-17                   9.234e-17                   3.561e-16                   2.464e-16                   7.868e-17                   7.666e-17                   6.115e-17                   1.460e-16                   8.070e-17
3.987e+00                   1.263e-13                   1.333e-17                   2.967e-19                   3.228e-15                   3.031e-16                   4.013e-15                   2.353e-15                   1.606e-15                   1.021e-15                   8.016e-16                   6.123e-16                   2.442e-16                   6.548e-18                   7.868e-18                   8.442e-17                   3.024e-16                   1.340e-16                   2.553e-17                   9.993e-17                   3.833e-16                   2.685e-16                   8.561e-17                   8.361e-17                   6.673e-17                   1.605e-16                   8.791e-17
4.120e+00                   1.282e-13                   1.605e-17                   3.739e-19                   3.197e-15                   3.113e-16                   3.942e-15                   2.332e-15                   1.594e-15                   1.010e-15                   8.006e-16                   6.160e-16                   2.709e-16                   7.012e-18                   8.934e-18                   9.786e-17                   3.059e-16                   1.355e-16                   2.736e-17                   1.074e-16                   4.098e-16                   2.905e-16                   9.249e-17                   9.052e-17                   7.228e-17                   1.751e-16                   9.504e-17
4.249e+00                   1.300e-13                   1.916e-17                   4.656e-19                   3.170e-15                   3.189e-16                   3.921e-15                   2.301e-15                   1.574e-15                   1.008e-15                   7.970e-16                   6.154e-16                   2.988e-16                   7.654e-18                   1.008e-17                   1.126e-16                   3.078e-16                   1.374e-16                   2.922e-17                   1.150e-16                   4.365e-16                   3.130e-16                   9.952e-17                   9.760e-17                   7.796e-17                   1.902e-16                   1.023e-16
4.374e+00                   1.316e-13                   2.266e-17                   5.728e-19                   3.136e-15                   3.266e-16                   3.846e-15                   2.279e-15                   1.556e-15                   9.964e-16                   7.942e-16                   6.180e-16                   3.276e-16                   8.256e-18                   1.129e-17                   1.286e-16                   3.101e-16                   1.387e-16                   3.107e-17                   1.226e-16                   4.629e-16                   3.358e-16                   1.066e-16                   1.047e-16                   8.368e-17                   2.056e-16                   1.096e-16
4.496e+00                   1.331e-13                   2.652e-17                   6.960e-19                   3.105e-15                   3.338e-16                   3.822e-15                   2.251e-15                   1.536e-15                   9.893e-16                   7.879e-16                   6.155e-16                   3.566e-16                   8.813e-18                   1.255e-17                   1.457e-16                   3.106e-16                   1.397e-16                   3.286e-17                   1.300e-16                   4.883e-16                   3.581e-16                   1.135e-16                   1.117e-16                   8.928e-17                   2.209e-16                   1.167e-16
4.613e+00                   1.347e-13                   3.088e-17                   8.398e-19                   3.074e-15                   3.410e-16                   3.759e-15                   2.222e-15                   1.520e-15                   9.818e-16                   7.862e-16                   6.161e-16                   3.873e-16                   9.365e-18                   1.391e-17                   1.644e-16                   3.124e-16                   1.407e-16                   3.474e-17                   1.378e-16                   5.147e-16                   3.815e-16                   1.208e-16                   1.190e-16                   9.514e-17                   2.370e-16                   1.241e-16
4.728e+00                   1.361e-13                   3.563e-17                   1.002e-18                   3.032e-15                   3.479e-16                   3.700e-15                   2.198e-15                   1.492e-15                   9.681e-16                   7.766e-16                   6.141e-16                   4.178e-16                   9.838e-18                   1.530e-17                   1.842e-16                   3.119e-16                   1.414e-16                   3.653e-17                   1.452e-16                   5.398e-16                   4.044e-16                   1.278e-16                   1.261e-16                   1.008e-16                   2.530e-16                   1.313e-16
4.839e+00                   1.374e-13                   4.083e-17                   1.185e-18                   3.007e-15                   3.546e-16                   3.682e-15                   2.168e-15                   1.482e-15                   9.633e-16                   7.731e-16                   6.108e-16                   4.489e-16                   1.042e-17                   1.675e-17                   2.052e-16                   3.126e-16                   1.416e-16                   3.831e-17                   1.526e-16                   5.645e-16                   4.272e-16                   1.348e-16                   1.332e-16                   1.065e-16                   2.691e-16                   1.384e-16
4.947e+00                   1.388e-13                   4.664e-17                   1.395e-18                   2.969e-15                   3.615e-16                   3.607e-15                   2.140e-15                   1.458e-15                   9.520e-16                   7.677e-16                   6.099e-16                   4.817e-16                   1.113e-17                   1.831e-17                   2.281e-16                   3.126e-16                   1.423e-16                   4.020e-17                   1.604e-16                   5.905e-16                   4.513e-16                   1.423e-16                   1.407e-16                   1.125e-16                   2.862e-16                   1.459e-16
